output_x,output_y,output_z,time
-2.57,-1.18,0.35,18526
-2.57,-1.11,0.35,18553
-2.57,-1.04,0.35,18582
-2.64,-1.11,0.35,18610
-2.5,-1.18,0.28,18638
-2.57,-1.04,0.35,18666
-2.57,-1.18,0.35,18694
-2.57,-1.11,0.35,18722
-2.57,-1.04,0.28,18750
-2.57,-1.11,0.28,18779
-2.57,-1.11,0.35,18806
-2.64,-1.11,0.35,18835
-2.64,-1.04,0.28,18863
-2.71,-1.11,0.35,18890
-2.5,-1.18,0.28,18919
-2.64,-1.11,0.35,18947
-2.57,-1.04,0.35,18975
-2.57,-1.11,0.35,19003
-2.64,-1.04,0.28,19032
-2.57,-1.11,0.28,19059
-2.64,-1.11,0.35,19087
-2.5,-1.04,0.35,19116
-2.64,-1.11,0.28,19143
-2.57,-1.04,0.28,19172
-2.64,-1.11,0.35,19200
-2.57,-1.11,0.35,19228
-2.64,-1.04,0.28,19256
-2.57,-1.04,0.35,19283
-2.64,-1.11,0.28,19312
-2.64,-1.18,0.35,19340
-2.57,-1.11,0.35,19368
-2.71,-1.04,0.35,19396
-2.5,-1.04,0.35,19424
-2.64,-1.11,0.42,19452
-2.5,-1.11,0.35,19480
-2.57,-1.11,0.35,19509
-2.57,-1.04,0.28,19536
-2.64,-1.04,0.35,19565
-2.57,-1.04,0.42,19593
-2.57,-1.04,0.35,19620
-2.57,-1.11,0.35,19649
-2.71,-1.11,0.42,19677
-2.64,-1.11,0.35,19705
-2.57,-1.04,0.35,19733
-2.57,-1.11,0.28,19762
-2.57,-1.04,0.28,19789
-2.57,-1.04,0.28,19817
-2.64,-1.04,0.28,19846
-2.64,-1.11,0.28,19873
-2.57,-1.04,0.28,19902
-2.57,-0.97,0.35,19930
-2.5,-1.04,0.28,19957
-2.57,-0.97,0.42,19986
-2.64,-1.04,0.28,20014
-2.57,-1.11,0.35,20042
-2.57,-1.04,0.35,20070
-2.57,-1.04,0.28,20099
-2.57,-1.11,0.28,20126
-2.64,-1.04,0.35,20154
-2.57,-1.11,0.21,20183
-2.64,-1.18,0.28,20210
-2.64,-1.11,0.42,20239
-2.64,-1.11,0.42,20267
-2.64,-1.11,0.35,20295
-2.64,-1.04,0.28,20323
-2.57,-1.11,0.35,20350
-2.57,-1.11,0.42,20379
-2.64,-1.18,0.35,20407
-2.64,-1.11,0.28,20435
-2.5,-1.04,0.42,20463
-2.57,-1.11,0.28,20491
-2.57,-1.04,0.28,20519
-2.57,-1.11,0.28,20547
-2.57,-1.04,0.42,20576
-2.5,-1.11,0.28,20603
-2.5,-1.04,0.35,20632
-2.64,-1.11,0.28,20660
-2.57,-1.11,0.35,20687
-2.57,-1.11,0.28,20716
-2.64,-1.11,0.35,20744
-2.5,-1.04,0.28,20772
-2.57,-1.18,0.28,20800
-2.64,-1.11,0.42,20829
-2.5,-1.04,0.21,20856
-2.64,-1.04,0.28,20884
-2.5,-1.18,0.28,20913
-2.57,-0.97,0.35,20940
-2.57,-1.11,0.28,20969
-2.57,-1.11,0.35,20997
-2.57,-1.04,0.35,21025
-2.57,-1.11,0.35,21053
-2.64,-1.11,0.21,21081
-2.5,-1.04,0.28,21109
-2.57,-1.11,0.28,21137
-2.57,-1.18,0.35,21166
-2.64,-1.18,0.28,21193
-2.64,-1.11,0.35,21221
-2.64,-1.11,0.28,21250
-2.64,-1.11,0.28,21277
-2.64,-1.11,0.28,21306
-2.57,-1.11,0.35,21334
-2.5,-1.04,0.28,21362
-2.71,-1.18,0.28,21390
-2.57,-1.11,0.28,21417
-2.57,-1.11,0.35,21446
-2.57,-1.11,0.28,21474
-2.5,-1.18,0.35,21502
-2.64,-1.11,0.28,21530
-2.57,-1.04,0.28,21559
-2.64,-1.11,0.28,21586
-2.5,-1.04,0.35,21614
-2.57,-1.04,0.21,21643
-2.57,-1.11,0.28,21670
-2.57,-0.97,0.35,21699
-2.57,-1.11,0.28,21727
-2.5,-1.11,0.35,21754
-2.64,-1.11,0.42,21783
-2.57,-1.04,0.35,21811
-2.64,-1.04,0.35,21839
-2.57,-1.11,0.28,21867
-2.64,-1.11,0.35,21896
-2.5,-1.04,0.28,21923
-2.64,-1.04,0.35,21951
-2.64,-1.11,0.35,21980
-2.64,-1.04,0.28,22007
-2.64,-1.04,0.42,22036
-2.64,-1.04,0.28,22064
-2.64,-1.11,0.28,22092
-2.57,-1.11,0.28,22120
-2.57,-1.04,0.28,22148
-2.64,-1.04,0.28,22176
-2.71,-1.04,0.35,22204
-2.5,-1.11,0.35,22233
-2.43,-1.04,0.35,22260
-2.64,-1.11,0.35,22288
-2.57,-1.11,0.28,22317
-2.57,-1.18,0.42,22344
-2.5,-1.11,0.42,22373
-2.64,-1.11,0.35,22401
-2.64,-1.11,0.28,22429
-2.57,-1.18,0.35,22457
-2.57,-1.11,0.21,22484
-2.57,-1.04,0.35,22513
-2.71,-1.11,0.28,22541
-2.5,-1.04,0.35,22569
